->;section;tareador_instrumented_section;;;;0
    us;52;loads;[0,4);stores;
    us;53;loads;[0,8);stores;
    us;54;loads;[0,4);stores;
    us;55;loads;[0,4);stores;
    us;56;loads;;stores;[0,16)
    us;57;loads;;stores;[0,16)
    us;58;loads;;stores;[0,4)
    us;59;loads;;stores;[0,8)
    us;60;loads;;stores;[0,8)
    <-;section;row;;;;56492
  us;46;loads;[0,4);stores;
  us;47;loads;[0,4);stores;
  us;54;loads;[0,4);stores;[0,4)
  us;55;loads;[0,4);stores;[0,4)
    ->;section;row;;;;56516
    us;4;loads;[0,8);stores;
    us;7;loads;[0,4);stores;
    us;9;loads;[0,4);stores;
    us;36;loads;[16,24);stores;
    us;39;loads;;stores;[0,4)
    us;45;loads;[0,4);stores;[0,4)
    us;46;loads;[0,4);stores;
    us;48;loads;[0,8);stores;
    us;49;loads;[0,8);stores;
    us;50;loads;[0,8);stores;
    us;51;loads;[0,8);stores;
    us;53;loads;[0,8);stores;
    us;54;loads;[0,4);stores;
    us;55;loads;[0,4);stores;
    us;56;loads;;stores;[0,16)
    us;57;loads;;stores;[0,16)
    us;58;loads;;stores;[0,4)
    us;59;loads;;stores;[0,8)
    us;60;loads;;stores;[0,8)
    <-;section;row;;;;56616
  us;47;loads;[0,4);stores;
  us;55;loads;[0,4);stores;[0,4)
    ->;section;row;;;;56625
    us;4;loads;[0,8);stores;
    us;7;loads;[0,4);stores;
    us;9;loads;[0,4);stores;
    us;36;loads;[16,24);stores;
    us;39;loads;;stores;[4,8)
    us;45;loads;[8,12);stores;[8,12)
    us;46;loads;[0,4);stores;
    us;48;loads;[0,8);stores;
    us;49;loads;[0,8);stores;
    us;50;loads;[0,8);stores;
    us;51;loads;[0,8);stores;
    us;52;loads;[0,4);stores;
    us;53;loads;[0,8);stores;
    us;54;loads;[0,4);stores;
    us;55;loads;[0,4);stores;
    us;56;loads;;stores;[0,16)
    us;57;loads;;stores;[0,16)
    us;58;loads;;stores;[0,4)
    us;59;loads;;stores;[0,8)
    us;60;loads;;stores;[0,8)
    <-;section;row;;;;56833
  us;47;loads;[0,4);stores;
  us;55;loads;[0,4);stores;[0,4)
    ->;section;row;;;;56842
    us;4;loads;[0,8);stores;
    us;7;loads;[0,4);stores;
    us;9;loads;[0,4);stores;
    us;36;loads;[16,24);stores;
    us;39;loads;;stores;[8,12)
    us;45;loads;[16,20);stores;[16,20)
    us;46;loads;[0,4);stores;
    us;48;loads;[0,8);stores;
    us;49;loads;[0,8);stores;
    us;50;loads;[0,8);stores;
    us;51;loads;[0,8);stores;
    us;52;loads;[0,4);stores;
    us;53;loads;[0,8);stores;
    us;54;loads;[0,4);stores;
    us;55;loads;[0,4);stores;
    us;56;loads;;stores;[0,16)
    us;57;loads;;stores;[0,16)
    us;58;loads;;stores;[0,4)
    us;59;loads;;stores;[0,8)
    us;60;loads;;stores;[0,8)
    <-;section;row;;;;57158
  us;47;loads;[0,4);stores;
  us;55;loads;[0,4);stores;[0,4)
    ->;section;row;;;;57167
    us;4;loads;[0,8);stores;
    us;7;loads;[0,4);stores;
    us;9;loads;[0,4);stores;
    us;36;loads;[16,24);stores;
    us;39;loads;;stores;[12,16)
    us;45;loads;[3996,4000);stores;[3996,4000)
    us;46;loads;[0,4);stores;
    us;48;loads;[0,8);stores;
    us;49;loads;[0,8);stores;
    us;50;loads;[0,8);stores;
    us;51;loads;[0,8);stores;
    us;52;loads;[0,4);stores;
    us;53;loads;[0,8);stores;
    us;54;loads;[0,4);stores;
    us;55;loads;[0,4);stores;
    us;56;loads;;stores;[0,16)
    us;57;loads;;stores;[0,16)
    us;58;loads;;stores;[0,4)
    us;59;loads;;stores;[0,8)
    us;60;loads;;stores;[0,8)
    <-;section;row;;;;111217
  us;47;loads;[0,4);stores;
  us;55;loads;[0,4);stores;[0,4)
    ->;section;row;;;;111226
    us;4;loads;[0,8);stores;
    us;7;loads;[0,4);stores;
    us;9;loads;[0,4);stores;
    us;36;loads;[16,24);stores;
    us;39;loads;;stores;[16,20)
    us;45;loads;[3996,4000);stores;[3996,4000)
    us;46;loads;[0,4);stores;
    us;48;loads;[0,8);stores;
    us;49;loads;[0,8);stores;
    us;50;loads;[0,8);stores;
    us;51;loads;[0,8);stores;
    us;52;loads;[0,4);stores;
    us;53;loads;[0,8);stores;
    us;54;loads;[0,4);stores;
    us;55;loads;[0,4);stores;
    us;56;loads;;stores;[0,16)
    us;57;loads;;stores;[0,16)
    us;58;loads;;stores;[0,4)
    us;59;loads;;stores;[0,8)
    us;60;loads;;stores;[0,8)
    <-;section;row;;;;165276
  us;47;loads;[0,4);stores;
  us;55;loads;[0,4);stores;[0,4)
    ->;section;row;;;;165285
    us;4;loads;[0,8);stores;
    us;7;loads;[0,4);stores;
    us;9;loads;[0,4);stores;
    us;36;loads;[16,24);stores;
    us;39;loads;;stores;[20,24)
    us;45;loads;[16,20);stores;[16,20)
    us;46;loads;[0,4);stores;
    us;48;loads;[0,8);stores;
    us;49;loads;[0,8);stores;
    us;50;loads;[0,8);stores;
    us;51;loads;[0,8);stores;
    us;52;loads;[0,4);stores;
